iso_code,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population_density,median_age,gdp_per_capita,hospital_beds_per_thousand,population,continent
AFG,Afghanistan,2023-12-06,229263,7965,5574.273,193.66,54.422,18.6,1803.987,0.5,41128772,Asia
ALB,Albania,2023-12-06,334090,3604,117541.387,1267.979,104.871,38,11803.431,2.89,2842318,Europe
DZA,Algeria,2023-12-06,271997,6881,6057.404,153.241,17.348,29.1,13913.839,1.9,44903228,Africa
AND,Andorra,2023-12-06,48015,159,601367.684,1991.408,163.755,43.3,42137.33,2.5,79843,Europe
AGO,Angola,2023-12-06,106002,1936,2978.505,54.399,23.89,16.8,5819.495,0.64,35588996,Africa
AIA,Anguilla,2023-12-06,3904,12,245890.282,755.81,180.6761,35.7,12200,2.1,15877,North America
ATG,Antigua and Barbuda,2023-12-06,9106,146,97107.879,1556.968,231.845,32.1,21490.943,3.8,93772,North America
ARG,Argentina,2023-12-06,10072905,130678,221332.307,2871.392,16.177,31.9,18933.907,5,45510324,South America
ARM,Armenia,2023-12-06,451107,8774,162241.159,3155.579,102.931,35.7,8787.58,4.2,2780472,Asia
ABW,Aruba,2023-12-06,44224,292,415408.749,2742.84,584.8,41.2,35973.781,0.4,106459,North America
AUS,Australia,2023-12-06,11678853,23766,446142.418,907.882,3.202,37.9,44648.71,3.84,26177410,Oceania
AUT,Austria,2023-12-06,6081287,22534,680262.588,2520.69,106.749,44.4,45436.686,7.37,8939617,Europe
AZE,Azerbaijan,2023-12-06,834135,10367,80529.901,1000.861,119.309,32.4,15847.419,4.7,10358078,Asia
BHS,Bahamas,2023-12-06,38084,844,92890.297,2058.592,39.497,34.3,27717.847,2.9,409989,North America
BHR,Bahrain,2023-12-06,696614,1536,473167.024,1043.31,1935.907,32.4,43290.705,2,1472237,Asia
BGD,Bangladesh,2023-12-06,2046090,29477,11952.412,172.192,1265.036,27.5,3523.984,0.8,171186368,Asia
BRB,Barbados,2023-12-06,110132,593,391029.874,2105.48,664.463,39.8,16978.068,5.8,281646,North America
BLR,Belarus,2023-12-06,994037,7118,104251.871,746.516,46.858,40.3,17167.967,11,9534956,Europe
BEL,Belgium,2023-12-06,4829921,34339,414374.82,2946.056,375.564,41.8,42658.576,5.64,11655923,Europe
BLZ,Belize,2023-12-06,71373,688,176105.703,1697.571,16.426,25,7824.362,1.3,405285,North America
BEN,Benin,2023-12-06,28036,163,2099.624,12.207,99.11,18.8,2064.236,0.5,13352864,Africa
BTN,Bhutan,2023-12-06,62697,21,80128.365,26.839,21.188,28.6,8708.597,1.7,782457,Asia
BOL,Bolivia,2023-12-06,1209626,22407,98954.084,1833.016,10.202,25.4,6885.829,1.1,12224114,South America
BIH,Bosnia and Herzegovina,2023-12-06,403355,16369,124741.382,5062.269,68.496,42.5,11713.895,3.5,3233530,Europe
BWA,Botswana,2023-12-06,330397,2800,125611.907,1064.517,4.044,25.8,15807.374,1.8,2630300,Africa
BRA,Brazil,2023-12-06,37519960,702116,174257.347,3260.901,25.04,33.5,14103.452,2.2,215313504,South America
BRN,Brunei,2023-12-06,315733,164,703188.405,365.254,81.347,32.4,71809.251,2.7,449002,Asia
BGR,Bulgaria,2023-12-06,1312102,38494,193469.582,5675.944,65.18,44.7,18563.307,7.454,6781955,Europe
BFA,Burkina Faso,2023-12-06,22093,398,974.386,17.553,70.151,17.6,1703.102,0.4,22673764,Africa
BDI,Burundi,2023-12-06,54368,15,4217.98,1.164,423.062,17.5,702.225,0.8,12889583,Africa
KHM,Cambodia,2023-12-06,138956,3056,8287.049,182.254,90.672,25.6,3645.07,0.8,16767851,Asia
CMR,Cameroon,2023-12-06,125116,1974,4482.108,70.716,50.885,18.8,3364.926,1.3,27914542,Africa
CAN,Canada,2023-12-06,4731777,53255,123049.27,1384.89,4.037,41.4,44017.591,2.5,38454328,North America
CPV,Cape Verde,2023-12-06,64474,416,108695.432,701.326,135.58,25.7,6222.554,2.1,593162,Africa
CAF,Central African Republic,2023-12-06,15367,113,2754.363,20.254,7.479,18.3,661.24,1,5579148,Africa
CHL,Chile,2023-12-06,5319739,61996,271363.53,3162.458,24.282,35.4,22767.037,2.11,19603736,South America
CHN,China,2023-12-06,99320723,121877,69655.378,85.474,147.674,38.7,15308.712,4.34,1425887360,Asia
COL,Colombia,2023-12-06,6383948,142727,123066.364,2751.415,44.223,32.2,13254.949,1.71,51874028,South America
COM,Comoros,2023-12-06,9109,160,10885.737,191.208,437.352,20.4,1413.89,2.2,836783,Africa
CRI,Costa Rica,2023-12-06,1230653,9368,237539.463,1808.202,96.079,33.6,15524.995,1.13,5180836,North America
HRV,Croatia,2023-12-06,1277094,18495,316868.39,4588.919,73.726,44,22669.797,5.54,4030361,Europe
CYP,Cyprus,2023-12-06,660854,1364,737554.506,1522.31,127.657,37.3,32415.132,3.4,896007,Europe
CZE,Czechia,2023-12-06,4684233,43019,446372.924,4099.394,137.176,43.3,32605.906,6.63,10493990,Europe
DNK,Denmark,2023-12-06,3417017,8824,580902.167,1500.104,136.52,42.3,46682.515,2.5,5882259,Europe
DJI,Djibouti,2023-12-06,15690,189,13998.292,168.622,41.285,25.4,2705.406,1.4,1120851,Africa
DOM,Dominican Republic,2023-12-06,661180,4384,58882.406,390.424,222.873,27.6,14600.861,1.6,11228821,North America
ECU,Ecuador,2023-12-06,1065377,36036,59184.317,2001.889,66.939,28.1,10581.936,1.5,18001002,South America
EGY,Egypt,2023-12-06,516023,24830,4649.271,223.714,97.999,25.3,10550.206,1.6,110990096,Africa
SLV,El Salvador,2023-12-06,201833,4230,31852.98,667.572,307.811,27.6,7292.458,1.3,6336393,North America
GNQ,Equatorial Guinea,2023-12-06,17130,183,10227.379,109.259,45.194,22.4,22604.873,2.1,1674916,Africa
ERI,Eritrea,2023-12-06,10189,103,2765.713,27.958,44.304,19.3,1510.459,0.7,3684041,Africa
EST,Estonia,2023-12-06,602909,2906,454660.559,2191.448,31.033,42.7,29481.252,4.69,1326064,Europe
SWZ,Eswatini,2023-12-06,75166,1427,62550.762,1187.504,79.492,21.5,7738.975,2.1,1201680,Africa
ETH,Ethiopia,2023-12-06,501087,7574,4061.333,61.388,104.957,19.8,1729.927,0.3,123379928,Africa
FJI,Fiji,2023-12-06,69047,885,74262.532,951.849,49.562,28.6,8702.975,2.3,929769,Oceania
FIN,Finland,2023-12-06,1499712,10864,270669.738,1960.747,18.136,42.8,40585.721,3.28,5540745,Europe
FRA,France,2023-12-06,38997490,167985,603427.621,2599.316,122.578,42,38605.671,5.98,67813000,Europe
GAB,Gabon,2023-12-06,49046,307,20529.955,128.506,7.859,23.1,16562.413,6.3,2388997,Africa
GMB,Gambia,2023-12-06,12626,372,4665.936,137.473,207.566,17.5,1561.767,1.1,2705995,Africa
GEO,Georgia,2023-12-06,1855289,17132,495485.64,4575.384,65.032,38.7,9745.079,2.6,3744385,Asia
DEU,Germany,2023-12-06,38437756,174979,461051.095,2098.829,237.016,46.6,45229.245,8,83369840,Europe
GHA,Ghana,2023-12-06,171768,1462,5131.099,43.673,126.719,21.1,4227.63,0.9,33475870,Africa
GRC,Greece,2023-12-06,5464525,37869,526195.449,3646.519,83.479,45.3,24574.382,4.21,10384972,Europe
GRD,Grenada,2023-12-06,19693,238,156967.615,1897.034,317.132,29.4,13593.877,3.7,125459,North America
GTM,Guatemala,2023-12-06,1250301,20201,70068.764,1132.095,157.834,22.9,7423.808,0.6,17843914,North America
GIN,Guinea,2023-12-06,38569,468,2782.887,33.768,51.755,19,1998.926,0.3,13859349,Africa
GNB,Guinea-Bissau,2023-12-06,9614,177,4565.963,84.062,66.191,19.4,1548.675,,2105580,Africa
GUY,Guyana,2023-12-06,73673,1299,91097.49,1606.228,3.952,26.3,7435.047,1.6,808727,South America
HTI,Haiti,2023-12-06,34493,860,2977.384,74.234,398.448,24.3,1653.173,0.7,11585003,North America
HND,Honduras,2023-12-06,472743,11114,45312.895,1065.288,82.805,24.9,4541.795,0.7,10432858,North America
HUN,Hungary,2023-12-06,2212994,48848,222025.334,4900.824,108.043,43.4,26777.561,7.02,9967304,Europe
ISL,Iceland,2023-12-06,209328,186,561347.053,498.789,3.404,37.3,46482.958,2.91,372903,Europe
IND,India,2023-12-06,45002179,533300,31754.892,376.313,450.419,28.2,6426.674,0.53,1417173120,Asia
IDN,Indonesia,2023-12-06,6813429,161918,24731.019,587.721,145.725,29.3,11188.744,1.04,275501344,Asia
IRN,Iran,2023-12-06,7624699,146724,86105.591,1656.952,49.831,32.4,19082.62,1.5,88550568,Asia
IRQ,Iraq,2023-12-06,2465545,25375,55410.332,570.274,88.125,20,15663.986,1.4,44496124,Asia
IRL,Ireland,2023-12-06,1725026,9366,343418.059,1864.583,69.874,38.7,67335.293,2.96,5023108,Europe
IMN,Isle of Man,2023-12-06,38008,116,449617.905,1372.229,147.872,,,,84534,Europe
ISR,Israel,2023-12-06,4841772,12707,512411.049,1344.798,402.606,30.6,33132.32,2.99,9449000,Asia
ITA,Italy,2023-12-06,26318717,192909,445796.815,3267.569,205.859,47.9,35220.084,3.18,59037472,Europe
JAM,Jamaica,2023-12-06,156551,3589,55369.596,1269.372,266.879,31.4,8193.571,1.7,2827382,North America
JPN,Japan,2023-12-06,33803572,74694,272715.688,602.606,347.778,48.2,39002.223,13.05,123951696,Asia
JEY,Jersey,2023-12-06,66391,161,599218.383,1453.121,,,,,110796,Europe
JOR,Jordan,2023-12-06,1746997,14122,154794.998,1251.299,109.285,23.2,8337.49,1.4,11285875,Asia
KAZ,Kazakhstan,2023-12-06,1502857,19072,77474.851,983.194,6.681,30.6,24055.588,6.7,19397998,Asia
KEN,Kenya,2023-12-06,344092,5689,6368.833,105.298,87.324,20,2993.028,1.4,54027484,Africa
KIR,Kiribati,2023-12-06,5085,24,38746.695,182.875,143.701,23.2,1981.132,1.9,131237,Oceania
OWID_KOS,Kosovo,2023-12-06,274279,3212,153906.454,1802.353,168.155,,9795.834,,1782115,Europe
KWT,Kuwait,2023-12-06,666538,2570,156138.627,602.031,232.128,33.7,65530.537,2,4268886,Asia
KGZ,Kyrgyzstan,2023-12-06,88924,1024,13411.112,154.435,32.333,26.3,3393.474,4.5,6630621,Asia
LAO,Laos,2023-12-06,218901,671,29072.537,89.116,29.715,24.4,6397.36,1.5,7529477,Asia
LVA,Latvia,2023-12-06,976798,7412,527812.33,4005.071,31.212,43.9,25063.846,5.57,1850654,Europe
LBN,Lebanon,2023-12-06,1239904,10947,225858.255,1994.082,594.561,31.1,13367.565,2.9,5489744,Asia
LSO,Lesotho,2023-12-06,35836,709,15541.502,307.482,73.562,22.2,2851.153,,2305826,Africa
LBR,Liberia,2023-12-06,7930,294,1495.467,55.444,49.127,19.2,752.788,0.8,5302690,Africa
LBY,Libya,2023-12-06,507269,6437,74463.21,944.902,3.623,29,17881.509,3.7,6812344,Africa
LIE,Liechtenstein,2023-12-06,21526,87,546969.889,2210.647,237.012,,,2.397,39355,Europe
LTU,Lithuania,2023-12-06,1350542,9761,491095.824,3549.38,45.135,43.5,29524.265,6.56,2750058,Europe
LUX,Luxembourg,2023-12-06,386030,1000,596092.347,1544.161,231.447,39.7,94277.965,4.51,647601,Europe
MDG,Madagascar,2023-12-06,68386,1426,2309.424,48.157,43.951,19.6,1416.44,0.2,29611718,Africa
MWI,Malawi,2023-12-06,89089,2686,4365.97,131.632,197.519,18.1,1095.042,1.3,20405318,Africa
MYS,Malaysia,2023-12-06,5140563,37201,151468.274,1096.139,96.254,29.9,26808.164,1.9,33938216,Asia
MDV,Maldives,2023-12-06,186694,316,356423.66,603.286,1454.433,30.6,15183.616,,523798,Asia
MLI,Mali,2023-12-06,33161,743,1467.717,32.885,15.196,16.4,2014.306,0.1,22593598,Africa
MLT,Malta,2023-12-06,120705,885,226338.992,1659.5,1454.037,42.4,36513.323,4.485,533293,Europe
MHL,Marshall Islands,2023-12-06,16138,17,387997.98,408.723,295.15,,3819.202,2.7,41593,Oceania
MTQ,Martinique,2023-12-06,230354,1104,626793.139,3003.984,,45.7,,,367512,North America
MRT,Mauritania,2023-12-06,63777,997,13466.012,210.509,4.289,20.3,3597.633,,4736146,Africa
MUS,Mauritius,2023-12-06,311465,1055,239684.704,811.864,622.962,37.4,20292.745,3.4,1299478,Africa
MYT,Mayotte,2023-12-06,42027,187,128872.507,573.421,,20.1,,,326113,Africa
MEX,Mexico,2023-12-06,7702387,334917,60408.926,2626.715,66.444,29.3,17336.469,1.38,127504120,North America
FSM,Micronesia (country),2023-12-06,26547,65,232505.386,569.287,150.777,23,3299.464,,114178,Oceania
MDA,Moldova,2023-12-06,627458,12154,191707.712,3713.421,123.655,37.6,5189.972,5.8,3272993,Europe
MCO,Monaco,2023-12-06,17181,67,470828.423,1836.069,19347.5,,,13.8,36491,Europe
MNG,Mongolia,2023-12-06,1011319,2284,297589.17,672.086,1.98,28.6,11840.846,7,3398373,Asia
MNE,Montenegro,2023-12-06,251280,2654,400713.144,4232.301,46.28,39.1,16409.288,3.861,627082,Europe
MSR,Montserrat,2023-12-06,1403,8,317924.315,1812.826,,,,,4413,North America
MAR,Morocco,2023-12-06,1277862,16297,34114.55,435.074,80.08,29.6,7485.013,1.1,37457976,Africa
MOZ,Mozambique,2023-12-06,233676,2250,7087.637,68.245,37.728,17.7,1136.103,0.7,32969520,Africa
MMR,Myanmar,2023-12-06,641383,19494,11838.153,359.805,81.721,29.1,5591.597,0.9,54179312,Asia
NAM,Namibia,2023-12-06,172170,4102,67069.883,1597.959,3.078,22,9541.808,,2567024,Africa
NRU,Nauru,2023-12-06,5393,1,424946.813,78.796,682.45,,12895.635,5,12691,Oceania
NPL,Nepal,2023-12-06,1003450,12031,32848.749,393.845,204.43,25,2442.804,0.3,30547586,Asia
NLD,Netherlands,2023-12-06,8620051,22986,490778.933,1308.698,508.544,43.2,48472.545,3.32,17564020,Europe
NCL,New Caledonia,2023-12-06,80064,314,276121.797,1082.912,15.342,33.4,,,289959,Oceania
NZL,New Zealand,2023-12-06,2422392,3549,467166.247,684.436,18.206,37.9,36085.843,2.61,5185289,Oceania
NIC,Nicaragua,2023-12-06,16077,245,2313.772,35.26,51.667,27.3,5321.444,0.9,6948395,North America
NER,Niger,2023-12-06,9515,315,363.057,12.019,16.955,15.1,926,0.3,26207982,Africa
NGA,Nigeria,2023-12-06,267163,3155,1222.483,14.437,209.588,18.1,5338.454,,218541216,Africa
NIU,Niue,2023-12-06,895,,458504.098,,,,,,1952,Oceania
PRK,North Korea,2023-12-06,,,,,211.701,35.3,,13.2,26069416,Asia
MKD,North Macedonia,2023-12-06,349868,9958,167112.628,4756.387,82.6,39.1,13111.214,4.28,2093606,Europe
MNP,Northern Mariana Islands,2023-12-06,14334,41,289143.503,827.046,119.878,,,,49574,Oceania
NOR,Norway,2023-12-06,1489459,5732,274083.584,1054.777,14.462,39.7,64800.057,3.6,5434324,Europe
OMN,Oman,2023-12-06,399449,4628,87286.454,1011.297,14.98,30.7,37960.709,1.6,4576300,Asia
PAK,Pakistan,2023-12-06,1580631,30656,6702.563,129.995,255.573,23.5,5034.708,0.6,235824864,Asia
PLW,Palau,2023-12-06,6249,9,345554.081,497.678,47.237,,13240.405,4.8,18084,Oceania
PSE,Palestine,2023-12-06,703228,5708,133946.251,1087.222,778.202,20.4,4449.898,,5250076,Asia
PAN,Panama,2023-12-06,1041696,8651,236288.221,1962.309,55.133,29.7,22267.037,2.3,4408582,North America
PNG,Papua New Guinea,2023-12-06,46864,670,4620.5,66.058,18.22,22.6,3823.194,,10142625,Oceania
PRY,Paraguay,2023-12-06,736118,19933,108560.048,2939.647,17.144,26.5,8827.01,1.3,6780745,South America
PER,Peru,2023-12-06,4520102,221564,132750.564,6507.098,25.129,29.1,12236.706,1.6,34049588,South America
PHL,Philippines,2023-12-06,4123920,66755,35686.703,577.67,351.873,25.2,7599.188,1,115559008,Asia
PCN,Pitcairn,2023-12-06,4,,85106.383,,,,,,47,Oceania
POL,Poland,2023-12-06,6553317,119753,164420.135,3004.555,124.027,41.8,27216.445,6.62,39857144,Europe
PRT,Portugal,2023-12-06,5631629,27702,548311.499,2697.146,112.371,46.2,27936.896,3.39,10270857,Europe
PRI,Puerto Rico,2023-12-06,1252713,5938,385164.303,1825.722,376.232,38.2,35044.67,,3252412,North America
QAT,Qatar,2023-12-06,514524,690,190908.716,256.017,227.322,31.9,116935.6,1.2,2695131,Asia
REU,Reunion,2023-12-06,494595,921,507765.419,945.525,,36,,,974062,Africa
ROU,Romania,2023-12-06,3501193,68590,178093.744,3488.939,85.129,43,23313.199,6.892,19659270,Europe
RUS,Russia,2023-12-06,23258444,400488,160720.833,2767.458,8.823,39.6,24765.954,8.05,144713312,Europe
RWA,Rwanda,2023-12-06,133208,1468,9669.078,106.557,494.869,20.3,1854.211,,13776702,Africa
BLM,Saint Barthelemy,2023-12-06,5507,5,500909.587,454.794,,,,,10994,North America
SHN,Saint Helena,2023-12-06,2166,,401036.845,,,,,,5401,Africa
KNA,Saint Kitts and Nevis,2023-12-06,6607,46,138566.725,964.745,212.865,,24654.385,2.3,47681,North America
LCA,Saint Lucia,2023-12-06,30209,410,167947.207,2279.399,293.187,34.9,12951.839,1.3,179872,North America
MAF,Saint Martin (French part),2023-12-06,12324,46,387352.276,1445.813,590.533,,,,31816,North America
SPM,Saint Pierre and Miquelon,2023-12-06,3426,2,582158.029,339.847,,,,,5885,North America
VCT,Saint Vincent and the Grenadines,2023-12-06,9674,124,93055.916,1192.778,281.787,31.8,10727.146,2.6,103959,North America
WSM,Samoa,2023-12-06,16780,31,75453.033,139.395,69.413,22,6021.557,,222390,Oceania
SMR,San Marino,2023-12-06,25292,126,750727.219,3739.982,556.667,,56861.47,3.8,33690,Europe
STP,Sao Tome and Principe,2023-12-06,6635,80,29178.559,351.814,212.841,18.7,3052.714,2.9,227393,Africa
SAU,Saudi Arabia,2023-12-06,841469,9646,23111.678,264.936,15.322,31.9,49045.411,2.7,36408824,Asia
SEN,Senegal,2023-12-06,89025,1971,5141.065,113.822,82.328,18.7,2470.58,,17316452,Africa
SRB,Serbia,2023-12-06,2583470,18057,375966.285,2627.793,80.291,41.2,14048.881,5.609,6871547,Europe
SYC,Seychelles,2023-12-06,51058,172,476576.282,1605.451,208.354,36.2,26382.287,3.6,107135,Africa
SLE,Sierra Leone,2023-12-06,7766,125,902.423,14.525,104.7,19.1,1390.3,,8605723,Africa
SGP,Singapore,2023-12-06,2739037,1933,485901.421,342.912,7915.731,42.4,85535.383,2.4,5637022,Asia
SXM,Sint Maarten (Dutch part),2023-12-06,11051,92,250067.886,2081.825,1209.088,,36327.232,,44192,North America
SVK,Slovakia,2023-12-06,1868801,21167,331144.839,3750.717,113.128,41.2,30155.152,5.82,5643455,Europe
SVN,Slovenia,2023-12-06,1347064,9487,635454.607,4475.331,102.619,44.5,31400.84,4.5,2119843,Europe
SLB,Solomon Islands,2023-12-06,25954,199,35834.604,274.759,21.841,20.8,2205.923,1.4,724272,Oceania
SOM,Somalia,2023-12-06,27334,1361,1553.288,77.34,23.5,16.8,,0.9,17597508,Africa
ZAF,South Africa,2023-12-06,4072575,102595,67996.509,1712.946,46.754,27.3,12294.876,2.32,59893884,Africa
KOR,South Korea,2023-12-06,34571873,35934,667207.062,693.495,527.967,43.4,35938.374,12.27,51815808,Asia
SSD,South Sudan,2023-12-06,18595,138,1703.904,12.645,,19.2,1569.888,,10913172,Africa
ESP,Spain,2023-12-06,13980340,121852,293960.095,2562.143,93.105,45.5,34272.36,2.97,47558632,Europe
LKA,Sri Lanka,2023-12-06,672639,16886,30809.563,773.446,341.955,34.1,11669.077,3.6,21832150,Asia
SDN,Sudan,2023-12-06,63993,5046,1365.207,107.65,23.258,19.7,4466.507,0.8,46874200,Africa
SUR,Suriname,2023-12-06,82506,1404,133494.918,2271.676,3.612,29.6,13767.119,3.1,618046,South America
SWE,Sweden,2023-12-06,2728931,25332,258682.408,2401.286,24.718,41,46949.283,2.22,10549349,Europe
CHE,Switzerland,2023-12-06,4425596,14086,506333.812,1611.584,214.243,43.1,57410.166,4.53,8740471,Europe
SYR,Syria,2023-12-06,57423,3163,2595.361,142.959,,21.7,,1.5,22125242,Asia
TJK,Tajikistan,2023-12-06,17786,125,1787.037,12.559,64.281,23.3,2896.913,4.8,9952789,Asia
TZA,Tanzania,2023-12-06,43087,846,657.839,12.916,64.699,17.7,2683.304,0.7,65497752,Africa
THA,Thailand,2023-12-06,4760122,34495,66392.184,481.122,135.132,40.1,16277.671,2.1,71697024,Asia
TLS,Timor,2023-12-06,23460,138,17490.52,102.885,87.176,18,6570.102,5.9,1341298,Asia
TGO,Togo,2023-12-06,39526,290,4466.871,32.773,143.366,19.4,1429.813,0.7,8848700,Africa
TKL,Tokelau,2023-12-06,80,,42260.961,,,,,,1893,Oceania
TON,Tonga,2023-12-06,16888,12,158028.203,112.289,150.028,22.3,5425.621,2.6,106867,Oceania
TTO,Trinidad and Tobago,2023-12-06,191496,4390,125075.52,2867.326,266.886,36.2,28763.071,3,1531043,North America
TUN,Tunisia,2023-12-06,1153361,29423,93343.329,2381.25,74.228,32.7,10849.297,2.3,12356116,Africa
TUR,Turkey,2023-12-06,17004677,101419,199255.078,1188.394,104.914,31.6,25129.341,2.81,85341248,Asia
TKM,Turkmenistan,2023-12-06,,,,,12.253,26.9,16389.023,7.4,6430777,Asia
TCA,Turks and Caicos Islands,2023-12-06,6697,40,146459.345,874.776,37.312,,,,45726,North America
TUV,Tuvalu,2023-12-06,2943,1,259638.288,88.222,373.067,,3575.104,,11335,Oceania
UGA,Uganda,2023-12-06,171876,3632,3637.619,76.868,213.759,16.4,1697.707,0.5,47249588,Africa
UKR,Ukraine,2023-12-06,5520483,109918,139048.879,2768.594,77.39,41.4,7894.393,8.8,39701744,Europe
ARE,United Arab Emirates,2023-12-06,1067030,2349,113019.214,248.805,112.442,34,67293.483,1.2,9441138,Asia
GBR,United Kingdom,2023-12-06,24812582,232112,367545.15,3438.241,272.898,40.8,39753.244,2.54,67508936,Europe
USA,United States,2023-12-06,103436829,1144877,305763.91,3384.308,35.608,38.3,54225.446,2.77,338289856,North America
VIR,United States Virgin Islands,2023-12-06,25389,132,255219.695,1326.913,306.48,42.2,,,99479,North America
URY,Uruguay,2023-12-06,1040596,7656,304019.287,2236.768,19.751,35.6,20551.409,2.8,3422796,South America
UZB,Uzbekistan,2023-12-06,174575,1016,5041.492,29.341,76.134,28.2,6253.104,4,34627648,Asia
VUT,Vanuatu,2023-12-06,12019,14,36784.149,42.847,22.662,23.1,2921.909,,326744,Oceania
VAT,Vatican,2023-12-06,26,,32178.218,,,,,,808,Europe
VEN,Venezuela,2023-12-06,552695,5856,19528.686,206.913,36.253,29,16745.022,0.8,28301700,South America
VNM,Vietnam,2023-12-06,11624000,43206,118386.518,440.039,308.127,32.6,6171.884,2.6,98186856,Asia
WLF,Wallis and Futuna,2023-12-06,3550,8,306140.048,689.893,,,,,11596,Oceania
YEM,Yemen,2023-12-06,11945,2159,354.487,64.072,53.508,20.3,1479.147,0.7,33696612,Asia
ZMB,Zambia,2023-12-06,349298,4069,17449.483,203.27,22.995,17.7,3689.251,2,20017670,Africa
ZWE,Zimbabwe,2023-12-06,265927,5727,16294.008,350.908,42.729,19.6,1899.775,1.7,16320539,Africa
